text,category
tu contrato fue renovado exitosamente hasta 5/2025,customer_service
70% off on furniture only today at Shell,promotion_offer
usa 407618 para verificar tu identidad en nuestra app,otp_verification
weekend offer: 45% discount on electronics at Uber,promotion_offer
tu reclamo #2045 fue escalado a nivel 2. te informaremos pronto,customer_service
tu caso #2492 fue asignado a un agente. tiempo estimado: 10 horas,customer_service
aviso de cobro: debes $9861 con vencimiento el 24/11,billing_reminder
tu suscripcion de $2349 se renueva en 3 dias,billing_reminder
security alert: access from Brazil detected on your account,security_alert
use 194689 to verify your identity in our app,otp_verification
weekend offer: 70% discount on electronics at Walmart,promotion_offer
your $190 cashback is ready to use at Walgreens,promotion_offer
se debito $237.000 de tu cuenta corriente terminada en 7216,transaction
codigo de confirmacion de transaccion: 624563,otp_verification
ultimo aviso: factura de $3925 vence hoy. paga ahora para evitar corte,billing_reminder
pay your bill today and avoid penalties,billing_reminder
earn $229 from home. no experience needed. sign up now!,spam_advertising
suspicious activity detected on your account. please review your recent activity,security_alert
retiro de $264.000 en cajero automatico fue exitoso,transaction
tu sesion fue cerrada por seguridad desde ip desconocida. ingresa nuevamente,security_alert
"authentication code: 827369. if this was not you, ignore this message",otp_verification
tu token de verificacion es 751051. no lo reenvies,otp_verification
factura mensual generada por $6228. fecha limite de pago: 18/11,billing_reminder
no olvides tu cita con el medico el lunes a las 8:30am,appointment_reminder
acumula puntos dobles este fin de semana en Easy,promotion_offer
transaccion de $393.000 aprobada en Uber,transaction
tu solicitud de cambio de plan fue procesada exitosamente,customer_service
successful transfer of $641 to account 5462,transaction
pedido #11487 retrasado por clima. nueva fecha estimada: manana,delivery_logistics
tu compra de Rappi salio del almacen y va en camino,delivery_logistics
compra aprobada por $476.000 en Amazon,transaction
one-time pin: 919488. valid for this session only,otp_verification
se agrego un nuevo metodo de pago a tu cuenta. si no fuiste tu actua de inmediato,security_alert
entrega programada para manana entre 11:00am y 8:30am. alguien debe estar en casa,delivery_logistics
alguien ingreso a tu cuenta desde Espana a las 2:45,security_alert
you received a transfer of $2739 to your account,transaction
para recuperar tu contrasena usa el codigo 550961,otp_verification
389282 is your one-time password. keep it safe,otp_verification
tu plan vence en 5 dias. renueva para no perder el servicio,billing_reminder
tu pedido llego al centro de distribucion de Concepcion,delivery_logistics
recordatorio: manana tienes cita con el doctor a las 4:30pm. llega 10 min antes,appointment_reminder
reembolso de $4848 procesado. veras el credito en 4 dias,customer_service
your request has been received. we will contact you within 2 business days,customer_service
reminder: your payment of $2712 is due tomorrow. avoid late fees,billing_reminder
te regalamos $8510 en creditos. canjealos antes de que expiren hoy,spam_advertising
tu queja fue registrada bajo el numero #9783. te responderemos pronto,customer_service
we could not deliver your package #96643 today. rescheduling for tomorrow,delivery_logistics
usa 806707 para verificar tu identidad en nuestra app,otp_verification
your number was drawn! call free 313-8481668 to claim,spam_advertising
click here to claim your $501 reward: www.prize581.com,spam_advertising
confirmacion: pago de $7991 realizado con exito en Uber,transaction
your purchase of $1169 at Apple Store is confirmed,transaction
eres el ganador seleccionado de $293.000! reclama tu premio antes de manana,spam_advertising
"tu cita en la clinica es en 24 horas, a las 10:30am. lleva tu carnet",appointment_reminder
clearance sale: up to 30% off electronics at Amazon,promotion_offer
"login from Paris detected. if this was not you, secure your account now",security_alert
entrega exitosa del pedido #64862. recibiste tu paquete?,delivery_logistics
regalo de $556 en puntos por tu compra en Falabella,promotion_offer
members only: 10% discount at Apple Store this week,promotion_offer
delivery scheduled for tomorrow between 5:00pm and 11:00am,delivery_logistics
alerta: acceso desde Colombia detectado en tu cuenta,security_alert
2-step verification: use code 701253,otp_verification
replica este metodo secreto y gana $106.000 sin salir de casa. mira como,spam_advertising
te regalamos $9357 en creditos. canjealos antes de que expiren hoy,spam_advertising
tracking update: your parcel #52153 is at the sorting facility,delivery_logistics
paga tu factura hoy y evita penalidades. monto: $4408,billing_reminder
promo especial: lleva 3 y paga 2 en deportes,promotion_offer
we confirm your medical appointment for 12/1. bring your id,appointment_reminder
promo exclusiva solo para ti! no te lo pierdas: www.oferta935.com,spam_advertising
oferta exclusiva: 45% de rebaja en tu proxima compra en Rappi,promotion_offer
envio gratis en tu proxima compra en Netflix. valido esta semana,promotion_offer
card transaction: $1842 debited from your account,transaction
"codigo de autenticacion: 757937. si no fuiste tu, ignora este mensaje",otp_verification
"a new payment method was added to your account. if this was not you, act now",security_alert
recordatorio de pago: $7573 con vencimiento el 23/10,billing_reminder
we detected access from Australia at 2:00. was this you?,security_alert
do not forget your doctor appointment on Thursday at 8:30am,appointment_reminder
reminder: you have a dental appointment on Tuesday at 8:30am,appointment_reminder
weekend offer: 20% discount on clothing at Apple Store,promotion_offer
your $1794 cashback is ready to use at Walgreens,promotion_offer
order #87296 delivered successfully. how was your experience?,delivery_logistics
you are one of 18 winners selected. act now!,spam_advertising
unauthorized access attempt from Nigeria. your account may be at risk,security_alert
transfer of $1487 to account ending in 4593 completed,transaction
tu pedido #39012 llega manana. descarga la app para seguirlo en tiempo real,delivery_logistics
special deal: buy one get one 20% off at Shell,promotion_offer
unusual login detected from Australia. was this you?,security_alert
do not forget your doctor appointment on Friday at 8:30am,appointment_reminder
purchase of $1143 approved at Apple Store,transaction
tu pedido llego al centro de distribucion de Buenos Aires,delivery_logistics
alerta de seguridad: tu correo asociado fue cambiado. si no fuiste tu contactanos,security_alert
we resolved your case #8923. how would you rate our service?,customer_service
congratulations! you won $644. call now 300-9512910,spam_advertising
843963 is your one-time password. keep it safe,otp_verification
soporte tecnico: tu incidencia #8722 esta siendo atendida,customer_service
reembolso de $3175 procesado. veras el credito en 6 dias,customer_service
appointment reminder: dermatology checkup on Thursday. please arrive 10 minutes early,appointment_reminder
acumula puntos dobles este fin de semana en Uber,promotion_offer
oferta exclusiva: 10% de rebaja en tu proxima compra en Lider,promotion_offer
gracias por contactarnos. tu ticket #6231 esta en proceso,customer_service
tu servicio sera suspendido en 1 dias por falta de pago. regulariza ya,billing_reminder
compra de $56.000 en Jumbo fue marcada como sospechosa. la rechazamos?,security_alert
tienes una consulta medica programada para manana. presentate en recepcion a las 2:30pm,appointment_reminder
successful transfer of $611 to account 8041,transaction
pedido #39937 entregado exitosamente. como fue tu experiencia?,delivery_logistics
your order reached the Los Angeles distribution center,delivery_logistics
deuda pendiente de $5965. paga antes del 16 para evitar intereses,billing_reminder
tu paquete #39878 esta disponible para retiro en sucursal Valparaiso,delivery_logistics
hospital norte: recordatorio de tu turno de control manana,appointment_reminder
successful transfer of $1231 to account 2697,transaction
felicitaciones! ganaste un premio de $210.000. llama ahora al 381-5585697,spam_advertising
para cancelar tu cita oftalmologica del jueves responde CANCELAR,appointment_reminder
transaction confirmation code: 774591. do not share it,otp_verification
"login from Spain detected. if this was not you, secure your account now",security_alert
your subscription of $1708 renews in 7 days,billing_reminder
detectamos un intento de phishing en tu cuenta. no compartas tus datos,security_alert
recuerda tu consulta medica manana a las 4:30pm en policlinico norte,appointment_reminder
descuento especial del 60% para clientes frecuentes de Rappi,promotion_offer
trabajo desde casa ganando $73.000 al mes. cupos limitados! entra ya,spam_advertising
your case #7757 has been assigned to an agent. estimated time: 23 hours,customer_service
se agrego un nuevo metodo de pago a tu cuenta. si no fuiste tu actua de inmediato,security_alert
health clinic: your ophthalmology checkup is confirmed for Thursday,appointment_reminder
alerta: acceso desde Chile detectado en tu cuenta,security_alert
unusual login detected from Brazil. was this you?,security_alert
you received a transfer of $1343 to your account,transaction
